x1,x2,label,sens
1,8123,1,0
10,3735,2,0
100,55632,3,1
1000,71613,4,1
10000,59973,5,0
1,94508,1,1
10,9775,2,0
100,41574,3,0
1000,77750,4,1
10000,89484,5,0
1,27864,1,1
10,55896,2,0
100,35171,3,0
1000,6933,4,1
10000,91432,5,0
1,58308,1,1
10,75174,2,1
100,79652,3,0
1000,77120,4,0
10000,15111,5,1
1,6238,1,1
10,46615,2,0
100,89731,3,0
1000,14302,4,0
10000,79638,5,1
1,93394,1,1
10,36979,2,0
100,21706,3,1
1000,20224,4,0
10000,37824,5,1
1,83153,1,1
10,39962,2,0
100,49803,3,0
1000,77110,4,0
10000,16686,5,0
1,22004,1,1
10,98458,2,0
100,63873,3,0
1000,14553,4,0
10000,50356,5,0
1,7630,1,0
10,16848,2,0
100,97662,3,1
1000,70768,4,0
10000,95056,5,1
1,37130,1,0
10,34602,2,0
100,3362,3,1
1000,54437,4,0
10000,37813,5,1
1,81629,1,1
10,14442,2,1
100,17850,3,1
1000,87040,4,1
10000,41634,5,1
1,43266,1,0
10,7006,2,1
100,13972,3,0
1000,74772,4,0
10000,17685,5,1
1,57548,1,1
10,90722,2,1
100,2457,3,0
1000,96855,4,1
10000,97721,5,0
1,67378,1,1
10,17699,2,0
100,98653,3,1
1000,61318,4,1
10000,22828,5,0
1,52961,1,0
10,26057,2,1
100,68224,3,0
1000,33583,4,0
10000,63116,5,0
1,4589,1,1
10,69958,2,1
100,65207,3,1
1000,50245,4,1
10000,71166,5,0
1,29257,1,1
10,36527,2,1
100,51838,3,0
1000,24064,4,0
10000,68414,5,1
1,16798,1,0
10,77585,2,1
100,82070,3,1
1000,66745,4,1
10000,45277,5,1
1,9450,1,0
10,42880,2,0
100,44077,3,0
1000,18420,4,1
10000,87671,5,1
1,22188,1,0
10,28264,2,1
100,88304,3,0
1000,73046,4,0
10000,71887,5,0